q,FDelta1n,FDelta1p,FDelta3n,FDelta3p,FDelta5n,FDelta5p,FM0n,FM0p,FM2n,FM2p,FM4n,FM4p,FPhipp0n,FPhipp0p,FPhipp2n,FPhipp2p,FPhipp4n,FPhipp4p,FSigmap1n,FSigmap1p,FSigmap3n,FSigmap3p,FSigmap5n,FSigmap5p,FSigmapp1n,FSigmapp1p,FSigmapp3n,FSigmapp3p,FSigmapp5n,FSigmapp5p
0,-0.148157553945,-0.583747717616,0.0,0.0,0.0,0.0,14.000000025971,12.999999985508,0.0,0.0,0.0,0.0,-1.839413755385,-1.549115788625,-0.317532180708,0.344391518804,0.0,0.0,0.04836967752,0.361799818908,0.0,0.0,0.0,0.0,0.034202525874,0.255831108282,0.0,0.0,0.0,0.0
15,-0.147315028077,-0.580212053007,5.6046116e-05,0.00043883065,0.0,0.0,13.886632903423,12.895728258276,0.015432450557,0.018666214635,-5.195768e-06,-6.774316e-06,-1.828669741845,-1.539774798753,-0.317629029584,0.341213231841,0.000345019907,-0.001039516038,0.048413410287,0.357767181271,-8.4747137e-05,-0.0007336257,1.09577e-07,3.563472e-06,0.033474837297,0.25444589681,-7.2456301e-05,-0.000636185366,1.11388e-07,3.238871e-06
30,-0.144814069567,-0.569725476928,0.000221558198,0.001734046351,-1.35235e-07,1.55034e-07,13.551304588494,12.587239192758,0.060588992997,0.073299330061,-8.1938114e-05,-0.000106650577,-1.796785366026,-1.512066307752,-0.3178749045,0.331806561506,0.001364189799,-0.004106959683,0.048518915992,0.34588659192,-0.000338575746,-0.00289931218,2.571438e-06,5.6187936e-05,0.031329122151,0.250341827493,-0.000278478492,-0.002524252636,2.30353e-06,5.1280865e-05
45,-0.140733279938,-0.552642420717,0.000488789255,0.003823109976,-9.63409e-07,1.023175e-06,13.008072233686,12.087291923802,0.132144295848,0.159918661367,-0.000405783749,-0.000529570394,-1.744789323506,-1.466925150838,-0.318139546202,0.31654714663,0.003010742434,-0.009052092105,0.04861275252,0.326792458443,-0.000760011283,-0.00639300983,1.3306575e-05,0.000278317776,0.02787496328,0.243669054484,-0.000585232303,-0.005602871973,1.1509086e-05,0.000254010949
60,-0.135199194696,-0.529531666587,0.000845315423,0.006605921226,-3.215746e-06,3.013513e-06,12.27933004003,11.416198928719,0.224869926394,0.27226446398,-0.001243587363,-0.001628754252,-1.674333095703,-1.405851558226,-0.318217859603,0.296035952076,0.005209677027,-0.015634606118,0.048583967915,0.301483617102,-0.001345890929,-0.011046576957,4.157014e-05,0.000853438611,0.023287014444,0.234665225998,-0.000941893514,-0.00977042927,3.466215e-05,0.000778676469
75,-0.128380236061,-0.501145261606,0.001274721173,0.009950724335,-7.534232e-06,6.850935e-06,11.394334875777,10.600571007509,0.332071838735,0.402320522529,-0.00291824065,-0.003838998202,-1.587607964598,-1.330826409053,-0.317847084039,0.271063611898,0.007861954426,-0.023538500127,0.048299422585,0.27124323329,-0.002090258702,-0.016635620288,9.9086291e-05,0.002004146522,0.01779373616,0.22363796898,-0.001285047783,-0.014886353949,7.8487022e-05,0.001828034025
90,-0.120478370837,-0.468378388635,0.001757505234,0.0137017619,-1.4814553e-05,1.2952018e-05,10.387376075638,9.671633213758,0.446140359548,0.54097171794,-0.005765386266,-0.007623584428,-1.487234658145,-1.244207860007,-0.316728446584,0.242564813324,0.010849912734,-0.032390801559,0.047622051107,0.237539615427,-0.002983240134,-0.022890530129,0.000199465219,0.003962986432,0.011662742926,0.210943582481,-0.001545396622,-0.020773849904,0.000148249576,0.003613450841
105,-0.111719735454,-0.432223508374,0.0022721497,0.017688207031,-2.5889293e-05,2.1479582e-05,9.295708893364,8.663409005084,0.559159458705,0.678732420991,-0.010087283792,-0.013415300391,-1.376132597375,-1.148609700168,-0.314551931353,0.21156635737,0.014043549511,-0.041783307577,0.046429523174,0.201917858468,-0.004009886495,-0.029510405316,0.000356735545,0.006941232174,0.00518413986,0.19696458285,-0.001655064313,-0.027224402056,0.000245480172,0.006326349927
120,-0.102344259756,-0.393721788924,0.002796268914,0.02173364865,-4.1271926e-05,3.2124891e-05,8.157391812364,7.610753089495,0.663517387014,0.806477034565,-0.016109260298,-0.021557609349,-1.257384822031,-1.046771968757,-0.311021562679,0.179132460892,0.017307234083,-0.051295769273,0.044630467979,0.165894400046,-0.005149304717,-0.036179286288,0.000584059807,0.011099361991,-0.001347033225,0.182088063083,-0.00155471511,-0.034004543505,0.000366875291,0.010111215179
135,-0.092595183536,-0.353914574,0.003307789044,0.025665582947,-6.1218015e-05,4.4080441e-05,7.009269868453,6.547513172995,0.752463731617,0.916106472361,-0.023943745412,-0.032252477142,-1.134104182567,-0.941435895377,-0.305879943133,0.146312228969,0.020506405053,-0.060519026131,0.042176809992,0.130862937527,-0.006374224505,-0.042583614317,0.000892234,0.016522599876,-0.007647979183,0.166687440935,-0.001199761189,-0.040864702628,0.000503766905,0.015043337427
150,-0.082709129174,-0.313800064538,0.003786060993,0.029324211059,-8.5683357e-05,5.6035804e-05,5.885203833103,5.504942301989,0.820566184188,1.001093949478,-0.03356594233,-0.045520810471,-1.0093003459,-0.835226104114,-0.298928892951,0.114090809508,0.023513853755,-0.069076388789,0.039070305813,0.098019540837,-0.007651157073,-0.048430163673,0.001288793502,0.023204331457,-0.013463673832,0.151107515734,-0.000565041948,-0.047550138203,0.000642587603,0.021113822861
165,-0.072907082939,-0.274294247708,0.004212853119,0.032570017817,-0.000114214855,6.6257379e-05,4.814597499851,4.510321259404,0.864032037884,1.056867725258,-0.044803616512,-0.061180326662,-0.885769683189,-0.730551467985,-0.290046373475,0.083349033449,0.026215277849,-0.07664176987,0.035363195825,0.068310780006,-0.008941244225,-0.053462386679,0.001776476488,0.031039005059,-0.018579537726,0.135654979106,0.000352442137,-0.05381302887,0.000766174246,0.028223315792
