q,FDelta1n,FDelta1p,FDelta3n,FDelta3p,FDelta5n,FDelta5p,FM0n,FM0p,FM2n,FM2p,FM4n,FM4p,FPhipp0n,FPhipp0p,FPhipp2n,FPhipp2p,FPhipp4n,FPhipp4p,FSigmap1n,FSigmap1p,FSigmap3n,FSigmap3p,FSigmap5n,FSigmap5p,FSigmapp1n,FSigmapp1p,FSigmapp3n,FSigmapp3p,FSigmapp5n,FSigmapp5p
0,-0.1615050817,-0.563041533937,0.0,0.0,0.0,0.0,13.999999995077,12.999999991616,0.0,0.0,0.0,0.0,-1.883324271178,-1.533149676665,-0.367606618523,0.282534257235,0.0,0.0,0.050833854012,0.388770080989,0.0,0.0,0.0,0.0,0.035944964087,0.274902014123,0.0,0.0,0.0,0.0
15,-0.160615578647,-0.559495322214,4.3098339e-05,0.000355891545,0.0,0.0,13.884245683439,12.893300226471,0.017884498856,0.021374105796,-2.868413e-06,-3.822739e-06,-1.871942927099,-1.523594385456,-0.367577095384,0.279577756842,0.000267588598,-0.001098903816,0.051209903617,0.384344029426,-7.6787466e-05,-0.000430216234,1.71476e-07,3.732295e-06,0.035415566971,0.273172692067,-6.5733634e-05,-0.000373271031,1.44021e-07,3.434741e-06
30,-0.157974019873,-0.548982032516,0.00017060899,0.001405954266,-8.6808e-08,9.0469e-08,13.541988619978,12.577792382802,0.070174609995,0.083862414612,-4.5280784e-05,-6.0643144e-05,-1.838180033541,-1.495264674626,-0.367438306574,0.270836803677,0.001058960288,-0.004337867405,0.052275971233,0.37131111432,-0.000307319866,-0.001710139406,8.55908e-07,5.7636175e-05,0.033846719747,0.268058657031,-0.000254087213,-0.001492077578,7.64991e-07,5.2612938e-05
45,-0.15365995381,-0.531871478393,0.000377162919,0.003098521434,-1.128902e-06,9.3133e-07,12.987997242404,12.066860822458,0.15289923216,0.18270740456,-0.000224319976,-0.000301431308,-1.783157239793,-1.44914115421,-0.367044528352,0.256681784216,0.002340462304,-0.009547449214,0.053854076673,0.350387175287,-0.000692007811,-0.003806716084,4.735589e-06,0.000285056985,0.031296019088,0.259775060641,-0.000539334476,-0.003351653328,3.614279e-06,0.00026019515
60,-0.147801799848,-0.508755672443,0.000654178624,0.00535089767,-3.448103e-06,2.791647e-06,12.24569547563,11.381860084373,0.259824238696,0.310446628288,-0.000687677814,-0.000928384172,-1.708681566562,-1.386801042544,-0.36616918717,0.237707527629,0.004057749906,-0.016457630219,0.05567398712,0.322697792284,-0.001230880853,-0.00666195452,1.4611546e-05,0.000872799754,0.027857795611,0.24866174582,-0.000881233606,-0.005938646796,9.591175e-06,0.000796630386
75,-0.140570811597,-0.480415865418,0.000990084194,0.008054403973,-8.046529e-06,6.20811e-06,11.345663532342,10.550642109597,0.382988111949,0.457561804352,-0.001614352062,-0.002191813741,-1.617141757397,-1.310321999443,-0.364527483466,0.214691488791,0.006138323871,-0.024715351558,0.057408436352,0.289686511594,-0.001922709264,-0.010189902791,3.4673713e-05,0.002045802281,0.023660480943,0.235156805744,-0.001228738766,-0.009224226671,1.8016787e-05,0.001867109264
90,-0.132173091075,-0.447778632744,0.00137090089,0.011080748248,-1.5906467e-05,1.1512723e-05,10.323599072195,9.605861305804,0.513373797888,0.613291811716,-0.003190820483,-0.004360334289,-1.511390115484,-1.222172332716,-0.361804517915,0.18854817622,0.008494915512,-0.033907028812,0.058714675123,0.253000370453,-0.002763782394,-0.014274413152,6.9498697e-05,0.004036316847,0.018862298486,0.219764661383,-0.001524715121,-0.013156689391,2.4742306e-05,0.003683389877
105,-0.12284041028,-0.411866984061,0.001780869463,0.014289533623,-2.7819337e-05,1.8583586e-05,9.218102822558,8.58286653855,0.64165087394,0.766528266586,-0.005585592137,-0.007686835131,-1.394597760871,-1.125083509642,-0.357685258464,0.160275141126,0.011029586844,-0.043584382249,0.059276365938,0.214366095463,-0.003746506057,-0.01876918864,0.000123824384,0.007051287712,0.013645338864,0.20302167284,-0.001711267879,-0.017655173679,2.1159234e-05,0.006433987572
120,-0.112820044187,-0.373747985597,0.002203188881,0.017536169709,-4.4414317e-05,2.6791021e-05,8.068438337397,7.517764298685,0.758916226883,0.906704167154,-0.008925042798,-0.012373565607,-1.27009845915,-1.021905769018,-0.35188415544,0.130898020591,0.013638312669,-0.053291440898,0.058839849232,0.175469550439,-0.004857966196,-0.023501108216,0.00020224454,0.011242082963,0.008207758961,0.185463382201,-0.001735146391,-0.022606101218,-6.342616e-06,0.010256569164
135,-0.102364432283,-0.334482560161,0.002620832356,0.020679791775,-6.6006778e-05,3.4924332e-05,6.912362548238,6.445370681868,0.857364117093,1.024593439316,-0.013273317314,-0.01854018614,-1.141244162254,-0.915478275873,-0.344171346228,0.101417739355,0.016215825985,-0.062590718281,0.057240714267,0.137848796008,-0.006078693237,-0.02827715174,0.000308902094,0.01668016324,0.00275451447,0.167594950747,-0.00155277557,-0.027863308406,-7.5890143e-05,0.015215754529
