q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,12.999999968917,13.999999956792,-1.599542262133,-1.894401892041
15.0,12.896229592855,13.887199078146,-1.589949996364,-1.883381797635
30.0,12.589206620776,13.553505332268,-1.56149600193,-1.850678199156
45.0,12.09153018212,13.012831095808,-1.515135089772,-1.797340650154
60.0,11.423279951673,12.287275208073,-1.452396073142,-1.725056126535
75.0,10.610774242663,11.405793827444,-1.375302714758,-1.636064309355
90.0,9.684945451476,10.402328147719,-1.286264791862,-1.533044459839
105.0,8.679497104651,9.313778739929,-1.187953725321,-1.418980284345
120.0,7.629006678708,8.177909456954,-1.083173255909,-1.297028394454
135.0,6.567158444844,7.031340553601,-0.974730465442,-1.170373387461
150.0,5.525041766048,5.907773291409,-0.865316806597,-1.042100003508
165.0,4.52994112791,4.836586955661,-0.757408071481,-0.915074167716
180.0,3.604271214783,3.841814024194,-0.653180998782,-0.791855066766
195.0,2.765136520169,2.941602701331,-0.554459090758,-0.674620141177
210.0,2.024041248202,2.148015882759,-0.462678332735,-0.565124283441
225.0,1.38711785065,1.467286537267,-0.378881340061,-0.464680244711
240.0,0.855574265407,0.900353122029,-0.303725928227,-0.374162561229
255.0,0.426353796294,0.443586250029,-0.237516511686,-0.294032233532
270.0,0.09292278403,0.089703329613,-0.180242760737,-0.224377445983
285.0,-0.1538217648,-0.17129582985,-0.13163071888,-0.164964303642
300.0,-0.324696076665,-0.351180212553,-0.09119519069,-0.11529559925
315.0,-0.431408901339,-0.462616784574,-0.058293785397,-0.074671273651
330.0,-0.485841178401,-0.518405807245,-0.03217824875,-0.042248574668
345.0,-0.499447050767,-0.530852870034,-0.012041100438,-0.017098238863
360.0,-0.482796575123,-0.511288591633,0.002943717313,0.001746129795
375.0,-0.445251113308,-0.469731402421,0.013587328416,0.015245088133
390.0,-0.394779938725,-0.414694550985,0.020659205636,0.024319586469
405.0,-0.337883675967,-0.353113749339,0.024868240267,0.029825552183
420.0,-0.279619019657,-0.290371868044,0.026849326258,0.032535631341
435.0,-0.223697066778,-0.230409455282,0.027156889941,0.033129401782
450.0,-0.172634064376,-0.175880874307,0.026262318802,0.032188833198
465.0,-0.127931170877,-0.128356358556,0.024556011743,0.030199301716
480.0,-0.090272457197,-0.088525396002,0.022352191054,0.027554546648
495.0,-0.059710008543,-0.056403688261,0.019895943444,0.024564211344
510.0,-0.035847728397,-0.031529404616,0.017371475017,0.021463361238
525.0,-0.017995558722,-0.013128369564,0.014911095589,0.018422752683
540.0,-0.005301446868,-0.000257290884,0.012604021248,0.015559402721
555.0,0.003146155889,0.008084653367,0.010504988334,0.012946685122
570.0,0.008240543053,0.012872685734,0.008641948401,0.010623745057
585.0,0.010803313364,0.014999881169,0.007022899065,0.008603833098
600.0,0.011552729726,0.015243516891,0.0056416893,0.006881552733
615.0,0.011088251712,0.014249156576,0.004482777531,0.005438854361
630.0,0.00988790537,0.012529203688,0.003525012456,0.00424990015
645.0,0.008315730626,0.010471107406,0.002744494426,0.003284856557
660.0,0.006633813549,0.008351630637,0.00211671138,0.002512695258
675.0,0.005018390486,0.006354831063,0.001617980994,0.001903211809
690.0,0.003576673244,0.004590084016,0.001226389781,0.001428325686
705.0,0.002362968443,0.003110103181,0.000922329246,0.001062863083
720.0,0.001393380891,0.001926736973,0.000688720107,0.000784904328
735.0,0.000658241877,0.001024562402,0.000511027949,0.000575846527
750.0,0.000132240491,0.000371740039,0.000377133177,0.000420244723
765.0,-0.000217841786,-7.1622696e-05,0.000277111636,0.000305537
780.0,-0.000427515327,-0.000347441163,0.00020297319,0.000221695205
795.0,-0.000530822121,-0.000495591846,0.00014838795,0.000160850872
810.0,-0.000558045918,-0.000551479163,0.000108413282,0.000116936313
825.0,-0.000534580869,-0.000544823797,7.9249328e-05,8.5343941e-05
840.0,-0.000480619113,-0.000499351634,5.8011704e-05,6.2631161e-05
855.0,-0.00041139451,-0.000433082791,4.2542509e-05,4.6263165e-05
870.0,-0.000337753942,-0.000358980783,3.1249706e-05,3.4403273e-05
885.0,-0.00026689005,-0.000285779679,2.2971309e-05,2.5736714e-05
900.0,-0.000203110689,-0.000218854269,1.6869559e-05,1.9335642e-05
915.0,-0.000148565336,-0.00016104518,1.2345897e-05,1.4552122e-05
930.0,-0.000103880857,-0.000113384169,8.975183e-06,1.0936937e-05
945.0,-6.8684934e-05,-7.5697759e-05,6.456028e-06,8.179683e-06
960.0,-4.2014693e-05,-4.7081096e-05,4.573442e-06,6.064724e-06
975.0,-2.2617625e-05,-2.6252099e-05,3.172577e-06,4.44016e-06
990.0,-9.16097e-06,-1.1800785e-05,2.139617e-06,3.196457e-06
1005.0,-3.67131e-07,-2.35365e-06,1.388997e-06,2.252085e-06
1020.0,4.908123e-06,3.329127e-06,8.54805e-07,1.544216e-06
1035.0,7.63824e-06,6.304844e-06,4.85254e-07,1.050844e-06
1050.0,8.61642e-06,7.433322e-06,2.39139e-07,6.72701e-07
