q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,13.000000006161,13.999999989741,-1.537989002837,-1.691517098049
15.0,12.887656480825,13.877579035066,-1.528192831176,-1.681341738496
30.0,12.555660024555,13.515898883696,-1.499157500592,-1.651147168953
45.0,12.018729135191,12.931323685314,-1.451919846995,-1.601915948672
60.0,11.300291777183,12.149809101043,-1.388138578481,-1.535226672348
75.0,10.430836150882,11.205086138854,-1.30999984,-1.4531799288
90.0,9.445932818137,10.136403225823,-1.220090804458,-1.358290938996
105.0,8.383969272186,8.985958001666,-1.12126158614,-1.253369754757
120.0,7.283835354827,7.796303555776,-1.016476465152,-1.141392158393
135.0,6.182778556312,6.608002696064,-0.908671754482,-1.025364097487
150.0,5.114488428434,5.457524578204,-0.800629100273,-0.908197260967
165.0,4.107714875342,4.375713947293,-0.69486485868,-0.792594210841
180.0,3.18521988031,3.386772306312,-0.593549182701,-0.680957281424
195.0,2.36332598477,2.507793852364,-0.498454258709,-0.575315712689
210.0,1.651879537713,1.748850568494,-0.410924949727,-0.477280710971
225.0,1.054663228325,1.113402877316,-0.331881570756,-0.388029449354
240.0,0.570082343851,0.59923034714,-0.261840412921,-0.308305679157
255.0,0.192112578152,0.199391786388,-0.200952287181,-0.238449764676
270.0,-0.088682577155,-0.096603457823,-0.149053983784,-0.178439473866
285.0,-0.284056903087,-0.301613374252,-0.105726010201,-0.127945820275
300.0,-0.40706489399,-0.429784846764,-0.070352460043,-0.086394591474
315.0,-0.471147076371,-0.495584071712,-0.042180888901,-0.053030491862
330.0,-0.489365406732,-0.513003535422,-0.020376557181,-0.026978769714
345.0,-0.47381075813,-0.494942325086,-0.004070441731,-0.007302653655
360.0,-0.435189007789,-0.452788237342,0.007599849631,0.006948325946
375.0,-0.382575872245,-0.396164880642,0.015458164881,0.016697291829
390.0,-0.323314220441,-0.332841767846,0.020265868716,0.022809735914
405.0,-0.263048937999,-0.268768710367,0.022706139629,0.02607134819
420.0,-0.205840518178,-0.208215312772,0.023374628654,0.027175291784
435.0,-0.154359165368,-0.153966216459,0.022776390174,0.026715288599
450.0,-0.110107693722,-0.107570051118,0.021327850516,0.025186164211
465.0,-0.073661293405,-0.069591617706,0.01936195454,0.022987944346
480.0,-0.04490301846,-0.039861421201,0.017136091692,0.020433632769
495.0,-0.023236471267,-0.017708035551,0.01484148808,0.017758998238
510.0,-0.007772651057,-0.002151630843,0.012613227767,0.015133413675
525.0,0.002520627183,0.007932444004,0.010540330328,0.01267102343
540.0,0.008699884503,0.013690548935,0.008675244538,0.010441537818
555.0,0.011765050844,0.01620201075,0.007042493481,0.008480185036
570.0,0.012605309712,0.016423276696,0.005646208715,0.006796561155
585.0,0.011970499763,0.015157547301,0.004476454998,0.005382221164
600.0,0.010461404439,0.013045178053,0.003514379476,0.004216950988
615.0,0.008534673123,0.010569484108,0.002736224581,0.003273732888
630.0,0.006516526062,0.00807262295,0.002116332081,0.002522534637
645.0,0.004622271187,0.005776533312,0.001629267035,0.001933077266
660.0,0.002977832695,0.00380698602,0.001251232098,0.001476686968
675.0,0.001641087408,0.002216756292,0.000960899767,0.001127441499
690.0,0.000621395561,0.00100700827,0.000739813256,0.000862770445
705.0,-0.000103671688,0.000145497978,0.000572466415,0.000663627318
720.0,-0.000574786365,-0.000418728845,0.000446178394,0.000514391901
735.0,-0.000840611756,-0.000744142341,0.00035082362,0.000402575607
750.0,-0.000950517173,-0.000888948147,0.000278502011,0.000318440688
765.0,-0.000949874542,-0.000906030442,0.000223180779,0.000254568962
780.0,-0.00087743915,-0.000840218465,0.000180349966,0.000205434304
795.0,-0.000764281748,-0.000727249331,0.000146698957,0.00016701094
810.0,-0.000633811008,-0.000593929159,0.000119842708,0.000136426439
825.0,-0.000502497256,-0.000459030956,9.8086636e-05,0.000111663124
840.0,-0.000380950754,-0.000334589972,8.0238817e-05,9.1325228e-05
855.0,-0.000275143671,-0.000227325368,6.5461187e-05,7.445098e-05
870.0,-0.000187586048,-0.0001400096,5.3160595e-05,6.0371434e-05
885.0,-0.000118390311,-7.2685034e-05,4.2906691e-05,4.8609838e-05
900.0,-6.6140421e-05,-2.3671734e-05,3.4375446e-05,3.881078e-05
915.0,-2.8580849e-05,9.65068e-06,2.7311223e-05,3.0694068e-05
930.0,-3.118999e-06,3.0267705e-05,2.1502472e-05,2.4025994e-05
945.0,1.2835149e-05,4.1135475e-05,1.6767414e-05,1.8602353e-05
960.0,2.1652868e-05,4.4941039e-05,1.2945543e-05,1.4240068e-05
975.0,2.5374331e-05,4.3967879e-05,9.893902e-06,1.0773817e-05
990.0,2.5666971e-05,4.0054845e-05,7.484863e-06,8.054343e-06
1005.0,2.3831064e-05,3.4602518e-05,5.605448e-06,5.948652e-06
1020.0,2.0835452e-05,2.8618175e-05,4.156852e-06,4.340044e-06
1035.0,1.7366288e-05,2.277691e-05,3.05392e-06,3.127935e-06
1050.0,1.3881379e-05,1.7488621e-05,2.224429e-06,2.227211e-06
