q,FM0p,FM0n,FPhipp0p,FPhipp0n
0.0,12.99999996332,13.999999929295,-0.624606229101,-0.990082842114
15.0,12.897435430853,13.888742761687,-0.62107719112,-0.984605837863
30.0,12.593890259385,13.559526694645,-0.610598659345,-0.968342512834
45.0,12.101589931208,13.025742099451,-0.59349830443,-0.941778422299
60.0,11.440077015224,12.308737351885,-0.570303339255,-0.905700941114
75.0,10.634935536308,11.436519488907,-0.54171577704,-0.861161898256
90.0,9.716325965976,10.442013601448,-0.508575526771,-0.80942833112
105.0,8.717201896104,9.361143700179,-0.471829164074,-0.751928142267
120.0,7.671512196489,8.230856237026,-0.432475759891,-0.690188225843
135.0,6.612400209557,7.087157770946,-0.391533350545,-0.625766576156
150.0,5.570695516802,5.963434782117,-0.349989971928,-0.560191677521
165.0,4.573598106376,4.889051286326,-0.308767304948,-0.494909923372
180.0,3.643701874859,3.888320393571,-0.268692043337,-0.431225371793
195.0,2.798458176012,2.979888213567,-0.230469531058,-0.370271878116
210.0,2.049869900244,2.17650479502,-0.194666697462,-0.312978407195
225.0,1.404683295909,1.485176891762,-0.161709434145,-0.260058795636
240.0,0.864715893739,0.907618686273,-0.131881027129,-0.212010182458
255.0,0.427484634235,0.440902683414,-0.105333026501,-0.169120554262
270.0,0.08696907841,0.078325216219,-0.082093250631,-0.131486821331
285.0,-0.165561682822,-0.189697514748,-0.062092040837,-0.099037907185
300.0,-0.34069216602,-0.374701290191,-0.045174690592,-0.071565822356
315.0,-0.450042949628,-0.489293797278,-0.031124802874,-0.048754511989
330.0,-0.505542939539,-0.546368075865,-0.019682953895,-0.030209896322
345.0,-0.518805847332,-0.558443359752,-0.010564757473,-0.015488491431
360.0,-0.500641762522,-0.537145896244,-0.003475920151,-0.004122109326
375.0,-0.460704153239,-0.492833106586,0.001874565233,0.004360094119
390.0,-0.407267153153,-0.434367814879,0.005764923042,0.010414941034
405.0,-0.347130914862,-0.369013015966,0.008453189233,0.014471622635
420.0,-0.285615132493,-0.302442765623,0.010172424762,0.016922446513
435.0,-0.226650216507,-0.238832292442,0.011128196188,0.018117013687
450.0,-0.172913477089,-0.181013113889,0.011497500157,0.018359165073
465.0,-0.126009731809,-0.130672750374,0.011429741154,0.017906929708
480.0,-0.086673982926,-0.088563844621,0.011047820611,0.016974019767
495.0,-0.054961544053,-0.054718909876,0.010451057269,0.01573285405
510.0,-0.030440002567,-0.02864933382,0.009717678669,0.014318728014
525.0,-0.012358055723,-0.009531458262,0.008907915726,0.012834431469
540.0,0.00021567606,0.003649693447,0.008066972905,0.011355166298
555.0,0.008278709653,0.011975508269,0.007227859674,0.009933356082
570.0,0.012808490542,0.016503983509,0.006413868037,0.008603159976
585.0,0.014703969006,0.018206795977,0.005640810374,0.007384525008
600.0,0.014748728303,0.017931077649,0.004918774105,0.00628678216
615.0,0.013593983089,0.016381076612,0.004253644173,0.005311576085
630.0,0.011755342887,0.014114974901,0.003648189134,0.004455312613
645.0,0.009620895874,0.011553380687,0.003102948233,0.003711016593
660.0,0.007465162834,0.008994324802,0.002616864176,0.003069773626
675.0,0.005467384845,0.006632870187,0.002187728771,0.002521756718
690.0,0.003730829894,0.004581387414,0.001812526049,0.002056942648
705.0,0.002301243298,0.002889319869,0.00148767221,0.00166556754
720.0,0.001183491057,0.001561184004,0.00120920411,0.001338412523
735.0,0.000355735875,0.000571712844,0.000972929396,0.001066957809
750.0,-0.000219324436,-0.000121762887,0.00077455284,0.000843438806
765.0,-0.000585826297,-0.000569928197,0.000609784591,0.000660859906
780.0,-0.00078872674,-0.000824669365,0.000474444502,0.000512978431
795.0,-0.000869824815,-0.000934567033,0.000364538159,0.000394258628
810.0,-0.000865498476,-0.000942217447,0.000276370318,0.000299836537
825.0,-0.000805718419,-0.000882976767,0.000206381519,0.000225472336
840.0,-0.000713962993,-0.000784738642,0.000151611906,0.000167501541
855.0,-0.000607705528,-0.000668387429,0.000109289256,0.000122794615
870.0,-0.000499232513,-0.000548672601,7.7041749e-05,8.8701727e-05
885.0,-0.000396584476,-0.000435263892,5.2841579e-05,6.301095e-05
900.0,-0.000304510836,-0.000333844103,3.49871e-05,4.3896528e-05
915.0,-0.000225323619,-0.000247132219,2.2068361e-05,2.9869946e-05
930.0,-0.000159629762,-0.000175769664,1.2934699e-05,1.9734547e-05
945.0,-0.00010692096,-0.000119047318,6.660034e-06,1.2538927e-05
960.0,-6.6019236e-05,-7.5467172e-05,2.508046e-06,7.536032e-06
975.0,-3.5868264e-05,-4.3153872e-05,-9.8371e-08,4.146177e-06
990.0,-1.3429659e-05,-2.0358209e-05,-1.606278e-06,1.924584e-06
1005.0,1.513695e-06,-4.529896e-06,-2.356399e-06,5.33424e-07
1020.0,1.1038778e-05,5.364031e-06,-2.6045e-06,-3.08875e-07
1035.0,1.6132487e-05,1.1006003e-05,-2.538704e-06,-7.19991e-07
1050.0,1.8279074e-05,1.3525625e-05,-2.293908e-06,-8.73253e-07
