# Energy(MeV)	deg(rad)	Rate (s*sr)^(-1)	error
151	0.611194257004745	28.2981	2.1808
151	0.65093219347004	19.8205	1.38842
151	0.690732880554225	11.5214	0.852957
151	0.7305981824385	7.30829	0.610525
151	0.770535701655906	4.62583	0.442327
151	0.810549065753283	2.73016	0.327989
151	0.85064638254895	1.65449	0.25624
151	0.890831769143004	0.997235	0.198295
151	0.931113955042292	0.642688	0.173348
151	0.971497665866644	0.368896	0.131189
151	1.01199239608884	0.260421	0.124074
151	1.05260362879782	0.168885	0.119718
201	0.593681213307462	6.01678	0.371239
201	0.632202929317745	3.21407	0.195423
201	0.670768243664962	1.67268	0.109912
201	0.709379940711904	0.886658	0.0698967
201	0.748042998283004	0.485633	0.0469623
201	0.786760426511384	0.306503	0.0366883
201	0.825537485987041	0.159152	0.0287343
201	0.864376385876131	0.141539	0.0259616
201	0.903282703525401	0.112907	0.0230163
201	0.942262244838961	0.112677	0.0205452
201	0.981318845010918	0.0579422	0.0200135
201	1.0204587785191	0.0544671	0.0183592
201	1.05969090466606	0.0453364	0.0171444
301	0.576157001997176	0.393945	0.0611408
301	0.613468229529412	0.259257	0.0343122
301	0.65080684794583	0.170126	0.024715
301	0.688177449777414	0.126408	0.0186568
301	0.725575614282922	0.0719927	0.0133737
301	0.763008072477851	0.0474683	0.00989909
301	0.80048172882874	0.0247672	0.00773528
301	0.837996510958393	0.00955564	0.0053631
301	0.875545088876256	0.00380534	0.00457741
301	0.91314905947223	0.00286428	0.00203042
301	0.988494412361089	0.00179206	0.0017943
301	1.02625074382247	0.00285576	0.00285934
