# energy(MeV) angle(rad) cross_section(fmsq) statistical_error systematic_error
1.15750000e+02 9.60227795e-01 6.30200000e-02 5.04160000e-04 6.69911789e-04
1.15750000e+02 1.04740699e+00 3.41700000e-02 2.05020000e-04 3.63232082e-04
1.15750000e+02 1.13460364e+00 1.86700000e-02 1.30690000e-04 1.98464822e-04
1.15750000e+02 1.22181774e+00 1.02700000e-02 6.16200000e-05 1.09171597e-04
1.15750000e+02 1.30936346e+00 5.53300000e-03 2.76650000e-05 6.25987491e-05
1.15750000e+02 1.39652520e+00 2.95100000e-03 2.06570000e-05 3.33867538e-05
1.15750000e+02 1.48387893e+00 1.58600000e-03 1.11020000e-05 1.79435417e-05
1.15750000e+02 1.57125011e+00 8.28100000e-04 5.79670000e-06 9.97164447e-06
1.15750000e+02 1.65876092e+00 4.29200000e-04 3.43360000e-06 5.49644185e-06
2.49030000e+02 5.23930388e-01 9.12900000e-02 6.39030000e-04 9.70426011e-04
2.49030000e+02 6.11039771e-01 2.31000000e-02 1.15500000e-04 2.61346666e-04
2.49030000e+02 6.98306234e-01 5.36700000e-03 3.75690000e-05 6.46272381e-05
2.49030000e+02 7.85555243e-01 1.00000000e-03 7.00000000e-06 1.36014705e-05
2.49030000e+02 8.72874066e-01 1.36800000e-04 9.57600000e-07 2.20583372e-06
2.49030000e+02 9.60227795e-01 2.96300000e-05 2.37040000e-07 2.96300000e-07
2.49030000e+02 1.04740699e+00 3.04100000e-05 2.43280000e-07 3.44049875e-07
