# energy(MeV) angle(rad) reaction_rate(1/s) statistical_error systematic_error
1.51000000e+02 6.11194257e-01 2.82981000e+01 2.18080000e+00 1.41490500e+00
1.51000000e+02 6.50932193e-01 1.98205000e+01 1.38842000e+00 9.91025000e-01
1.51000000e+02 6.90732881e-01 1.15214000e+01 8.52957000e-01 5.76070000e-01
1.51000000e+02 7.30598182e-01 7.30829000e+00 6.10525000e-01 3.65414500e-01
1.51000000e+02 7.70535702e-01 4.62583000e+00 4.42327000e-01 2.31291500e-01
1.51000000e+02 8.10549066e-01 2.73016000e+00 3.27989000e-01 1.36508000e-01
1.51000000e+02 8.50646383e-01 1.65449000e+00 2.56240000e-01 8.27245000e-02
1.51000000e+02 8.90831769e-01 9.97235000e-01 1.98295000e-01 4.98617500e-02
1.51000000e+02 9.31113955e-01 6.42688000e-01 1.73348000e-01 3.21344000e-02
1.51000000e+02 9.71497666e-01 3.68896000e-01 1.31189000e-01 1.84448000e-02
1.51000000e+02 1.01199240e+00 2.60421000e-01 1.24074000e-01 1.30210500e-02
1.51000000e+02 1.05260363e+00 1.68885000e-01 1.19718000e-01 8.44425000e-03
2.01000000e+02 5.93681213e-01 6.01678000e+00 3.71239000e-01 3.00839000e-01
2.01000000e+02 6.32202929e-01 3.21407000e+00 1.95423000e-01 1.60703500e-01
2.01000000e+02 6.70768244e-01 1.67268000e+00 1.09912000e-01 8.36340000e-02
2.01000000e+02 7.09379941e-01 8.86658000e-01 6.98967000e-02 4.43329000e-02
2.01000000e+02 7.48042998e-01 4.85633000e-01 4.69623000e-02 2.42816500e-02
2.01000000e+02 7.86760427e-01 3.06503000e-01 3.66883000e-02 1.53251500e-02
2.01000000e+02 8.25537486e-01 1.59152000e-01 2.87343000e-02 7.95760000e-03
2.01000000e+02 8.64376386e-01 1.41539000e-01 2.59616000e-02 7.07695000e-03
2.01000000e+02 9.03282704e-01 1.12907000e-01 2.30163000e-02 5.64535000e-03
2.01000000e+02 9.42262245e-01 1.12677000e-01 2.05452000e-02 5.63385000e-03
2.01000000e+02 9.81318845e-01 5.79422000e-02 2.00135000e-02 2.89711000e-03
2.01000000e+02 1.02045878e+00 5.44671000e-02 1.83592000e-02 2.72335500e-03
2.01000000e+02 1.05969090e+00 4.53364000e-02 1.71444000e-02 2.26682000e-03
3.01000000e+02 5.76157002e-01 3.93945000e-01 6.11408000e-02 1.96972500e-02
3.01000000e+02 6.13468230e-01 2.59257000e-01 3.43122000e-02 1.29628500e-02
3.01000000e+02 6.50806848e-01 1.70126000e-01 2.47150000e-02 8.50630000e-03
3.01000000e+02 6.88177450e-01 1.26408000e-01 1.86568000e-02 6.32040000e-03
3.01000000e+02 7.25575614e-01 7.19927000e-02 1.33737000e-02 3.59963500e-03
3.01000000e+02 7.63008072e-01 4.74683000e-02 9.89909000e-03 2.37341500e-03
3.01000000e+02 8.00481729e-01 2.47672000e-02 7.73528000e-03 1.23836000e-03
3.01000000e+02 8.37996511e-01 9.55564000e-03 5.36310000e-03 4.77782000e-04
3.01000000e+02 8.75545089e-01 3.80534000e-03 4.57741000e-03 1.90267000e-04
3.01000000e+02 9.13149059e-01 2.86428000e-03 2.03042000e-03 1.43214000e-04
3.01000000e+02 9.88494412e-01 1.79206000e-03 1.79430000e-03 8.96030000e-05
3.01000000e+02 1.02625074e+00 2.85576000e-03 2.85934000e-03 1.42788000e-04
